1A,ChangeInsulationRValueForExteriorWalls,r_value,0.0001558970073119753,0.0009916908656846582,0.00010403381491891125,7.972033210491305e-06
1A,ChangeInsulationRValueForRoofs,r_value_roof,0.00014231179453464072,0.0005528239545989687,3.664694191136429e-05,2.738563337806077e-06
1A,ChangeUValueandSHGCOfWindows,window_u_value_ip,0.00039006759037260716,0.0012356095894743295,0.0002164791124553903,1.832239234865836e-05
1A,ChangeUValueandSHGCOfWindows,window_shgc,4.6673472995590866e-06,0.0001398331849178625,2.725476435163015e-06,2.405804608666515e-07
1A,SetGasBurnerEfficiency,eff,1.0448530465956223e-05,3.801379825768278e-05,1.7802744840436286e-07,1.4412396193925593e-08
1A,ReplaceLightsInSpaceTypeWithLPD,lpd,0.07997801867524298,0.02444892261717455,0.08042076966734674,0.006784739921499926
1A,ChangeCOPforSingleSpeedDXCoolingUnits,cop,0.049796031333833146,0.021607468538344332,0.049672079353552764,0.0045029290023818076
1A,SetHeatingandCoolingSizingFactors,htg_sz_factor,-6.5566431650679895e-06,0.0001317414606267702,2.365005684607446e-06,2.1609474757657735e-07
1A,SetHeatingandCoolingSizingFactors,clg_sz_factor,0.010956966875696207,0.008041881006961548,0.0108315156968443,0.0008599400966567087
1A,SetWaterHeaterEfficiency,heater_thermal_efficiency,1.7762613286157576e-05,0.0003360587695782328,1.669808448399407e-05,1.361017601167934e-06
1A,AddOverhangsByProjectionFactor,projection_factor,0.0004176925394852862,0.0016390646729635982,0.0003663969902359077,3.096532830689342e-05
1A,ChangeOutdoorAir,design_spec_outdoor_air_per_person,0.00039338620795723674,0.0022129248931377125,0.0006005739228142629,5.297017909716428e-05
1A,ResizeExistingWindowsToMatchAGivenWWR,wwr,1.7510802924188884e-05,0.00021669135129606955,6.403006052446283e-06,5.586761343765474e-07
1A,ChangeElectricEquipmentLoadsByPercentage,elecequip_power_change_percent,7.278934465146988e-05,0.001002081316384364,0.00012741819016024353,1.0765695375963623e-05
1A,ChangeEnergyUseForKitchen,gas,0.8738525173751344,0.07408183898904733,0.8745694214965349,0.06598191012903876
