4C,ChangeInsulationRValueForExteriorWalls,r_value,-2.765647348028394e-06,7.009523569550189e-05,6.276068351413095e-07,5.254091639253905e-08
4C,ChangeInsulationRValueForRoofs,r_value_roof,-3.375698955105761e-05,0.0004050662742232619,1.6125384645078537e-05,1.4343187310702782e-06
4C,ChangeUValueandSHGCOfWindows,window_u_value_ip,0.0012165240377442277,0.0024613965068868205,0.0008716436021321653,7.059547155561697e-05
4C,ChangeUValueandSHGCOfWindows,window_shgc,1.118500385273939e-05,0.0002511127267907332,7.776297894455446e-06,5.956336916160461e-07
4C,SetGasBurnerEfficiency,eff,0.00020337455578785168,0.0006313360481258893,4.4320988478168136e-05,3.4141669229070168e-06
4C,ReplaceLightsInSpaceTypeWithLPD,lpd,0.07766348053463594,0.023535304171628062,0.07846236346347275,0.006874269901645419
4C,ChangeCOPforSingleSpeedDXCoolingUnits,cop,0.0028709296195691533,0.003890229675955763,0.002821001481846319,0.00020683714322660557
4C,SetHeatingandCoolingSizingFactors,htg_sz_factor,1.578250261221589e-05,0.000184698497858031,4.36256150829737e-06,4.002914235053295e-07
4C,SetHeatingandCoolingSizingFactors,clg_sz_factor,0.012310614965373674,0.009433757190556244,0.012287711685847746,0.00099979443600708
4C,SetWaterHeaterEfficiency,heater_thermal_efficiency,1.4618198587381184e-05,0.0002259982488889669,8.493224770908334e-06,7.373639122747062e-07
4C,AddOverhangsByProjectionFactor,projection_factor,0.0022777779603028307,0.0040393360867938865,0.002248982216202037,0.00020012934290005298
4C,ChangeOutdoorAir,design_spec_outdoor_air_per_person,9.129099342091034e-05,0.001227861047203044,0.00018687013558604018,1.6452012251587227e-05
4C,ResizeExistingWindowsToMatchAGivenWWR,wwr,1.656291629773562e-05,0.000211719741159211,5.7087515514021835e-06,4.940929358187583e-07
4C,ChangeElectricEquipmentLoadsByPercentage,elecequip_power_change_percent,0.00010057348077037623,0.0010140742328889612,0.0001420023895120159,1.2499785111673683e-05
4C,ChangeEnergyUseForKitchen,gas,0.9210833572779518,0.06761990096250323,0.9219941456133155,0.061396884312562565
